a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
    average ; n/adj ; ˈævərɪdʒ ; середній, середнє  
    avoid ; v ; əˈvɔɪd ; уникати  
    awake ; adj/v ; əˈweɪk ; несплячий, прокидатися  
    away ; adv ; əˈweɪ ; геть, далеко  
    awful ; adj ; ˈɔːfl ; жахливий
    baby; n.; beɪbi; дитина, малюк
back; n., v., adj., adv.; bæk; спина; задній; назад, ззаду
background; n.; bækɡraʊnd; фон, походження
backpack; n.; bækpæk; рюкзак
backwards; adv.; bækwədz; назад, у зворотному напрямку
bad; adj.; bæd; поганий
bag; n.; bæɡ; сумка
baggage; n.; bæɡɪdʒ; багаж
bake; v.; beɪk; пекти
balance; n., v.; bæləns; баланс; балансувати
balcony; n.; bælkəni; балкон
bald; adj.; bɔːld; лисий
ball; n.; bɔːl; м'яч
ballet; n.; bæleɪ; балет
balloon; n.; bəluːn; повітряна кулька
banana; n.; bənɑːnə; банан
band; n.; bænd; гурт, оркестр
bandage; n.; bændɪdʒ; бинт
bank balance; n.; bæŋk bæləns; залишок на банківському рахунку
bank; n.; bæŋk; банк
banknote; n.; bæŋknəʊt; банкнота
bar; n.; bɑːr; бар, брусок
barbecue; n.; bɑːbɪkjuː; барбекю
bare; adj.; beər; голий, порожній
base on; v.; beɪs ɒn; базуватися на
baseball; n.; beɪsbɔːl; бейсбол
basement; n.; beɪsmənt; підвал
basic; adj.; beɪsɪk; основний
basin; n.; beɪsn; басейн, умивальник
basket; n.; bɑːskɪt; кошик
basketball; n.; bɑːskɪtbɔːl; баскетбол
bat; n.; bæt; кажан, бита
bath; n.; bɑːθ; ванна
bathroom; n.; bɑːθruːm; ванна кімната
battle; n.; bætl; битва
bay; n.; beɪ; затока
be; v.; biː; бути
beach; n.; biːtʃ; пляж
bean; n.; biːn; боб
bear; n., v.; beər; ведмідь; терпіти
beard; n.; bɪərd; борода
beat; v.; biːt; бити
beautiful; adj.; bjuːtɪfl; красивий
because of; prep.; bɪkɒz ɒv; через, внаслідок
because; conj.; bɪkɒz; тому що
become; v.; bɪkʌm; ставати
bed; n.; bed; ліжко
bedroom; n.; bedruːm; спальня
bee; n.; biː; бджола
beef; n.; biːf; яловичина
before; prep., conj., adv.; bɪfɔːr; перед, раніше, перш ніж
begin; v.; bɪɡɪn; починати
behave; v.; bɪheɪv; поводитися
behind; prep., adv.; bɪhaɪnd; позаду, за
believe; v.; bɪliːv; вірити
bell; n.; bel; дзвін
belong; v.; bɪlɒŋ; належати
belongings; n.; bɪlɒŋɪŋz; речі, майно
below; prep., adv.; bɪləʊ; нижче, під
belt; n.; belt; пояс
bend; v., n.; bend; гнути(ся); вигин
beneath; prep.; bɪniːθ; під, нижче
benefit; n., v.; benɪfɪt; вигода; приносити користь
beside; prep.; bɪsaɪd; поруч, біля
between; prep.; bɪtwiːn; між
beyond; prep., adv.; bɪjɒnd; за, поза
bicycle; n.; baɪsɪkl; велосипед
big; adj.; bɪɡ; великий
bike; n.; baɪk; велосипед, мотоцикл
bill; n.; bɪl; рахунок
biography; n.; baɪɒɡrəfi; біографія
biology; n.; baɪɒlədʒi; біологія
bird; n.; bɜːrd; птах
birth; n.; bɜːrθ; народження
birthday; n.; bɜːrθdeɪ; день народження
biscuit; n.; bɪskɪt; печиво
bit; n.; bɪt; шматочок
bite; v., n.; baɪt; кусати; укус
bitter; adj.; bɪtər; гіркий
black; adj., n.; blæk; чорний
blackboard; n.; blækbɔːrd; дошка
blame; v., n.; bleɪm; звинувачувати; звинувачення
blank; adj., n.; blæŋk; порожній; бланк
bleed; v.; bliːd; кровоточити
blind; adj.; blaɪnd; сліпий
block; n., v.; blɒk; блок; блокувати
blood; n.; blʌd; кров
blouse; n.; blaʊz; блузка
blow; v.; bləʊ; дути
blue; adj., n.; bluː; синій
board; n.; bɔːrd; дошка
boarding pass; n.; bɔːdɪŋ pɑːs; посадковий талон
boat; n.; bəʊt; човен
body; n.; bɒdi; тіло
boil; v.; bɔɪl; кип'ятити
bold; adj.; bəʊld; сміливий
bomb; n.; bɒm; бомба
bone; n.; bəʊn; кістка
book; n.; bʊk; книга
booking office; n.; bʊkɪŋ ɒfɪs; каса
bookshelf; n.; bʊkʃelf; книжкова полиця
bookshop; n.; bʊkʃɒp; книжковий магазин
boot; n.; buːt; черевик
bored; adj.; bɔːrd; нудьгуючий
boring; adj.; bɔːrɪŋ; нудний
born; adj.; bɔːrn; народжений
borrow; v.; bɒrəʊ; позичати
boss; n.; bɒs; бос
both; det., pron.; bəʊθ; обидва
bottle; n.; bɒtl; пляшка
bottom; n.; bɒtm; дно
bowl; n.; bəʊl; миска
box; n.; bɒks; коробка
boy; n.; bɔɪ; хлопчик
boyfriend; n.; bɔɪfrend; хлопець
brain; n.; breɪn; мозок
brake; n., v.; breɪk; гальмо; гальмувати
branch; n.; brɑːntʃ; гілка
brave; adj.; breɪv; хоробрий
bread; n.; bred; хліб
break down; v.; breɪk daʊn; ламатися
break in; v.; breɪk ɪn; вламуватися
break; n., v.; breɪk; перерва; ламати
breakfast; n.; brekfəst; сніданок
breath; n.; breθ; подих
breathe; v.; briːð; дихати
brick; n.; brɪk; цегла
bridge; n.; brɪdʒ; міст
brief; adj.; briːf; короткий
bright; adj.; braɪt; яскравий
brilliant; adj.; brɪliənt; блискучий
bring up; v.; brɪŋ ʌp; виховувати
bring; v.; brɪŋ; приносити
broad; adj.; brɔːd; широкий
brochure; n.; brəʊʃʊər; брошура
brother; n.; brʌðər; брат
brown; adj., n.; braʊn; коричневий
brush; n., v.; brʌʃ; щітка; чистити
bucket; n.; bʌkɪt; відро
buffet; n.; bʌfeɪ; буфет
bug; n.; bʌɡ; комаха
build; v.; bɪld; будувати
building; n.; bɪldɪŋ; будівля
bulb; n.; bʌlb; лампочка
bullet; n.; bʊlɪt; куля
bum; n.; bʌm; зад, волоцюга
bureau; n.; bjʊərəʊ; бюро
burger; n.; bɜːrɡər; бургер
burglar; n.; bɜːrɡlər; злодій
burglary; n.; bɜːrɡləri; крадіжка зі зломом
bury; v.; beri; ховати
bus station; n.; bʌs ˈsteɪʃn; автовокзал
bus stop; n.; bʌs stɒp; автобусна зупинка
bus; n.; bʌs; автобус
business; n.; bɪznɪs; бізнес
busy; adj.; bɪzi; зайнятий
but; conj.; bʌt; але
butcher; n.; bʊtʃər; м'ясник
butter; n.; bʌtər; масло
button; n.; bʌtn; ґудзик
buy; v.; baɪ; купувати
by accident; adv.; baɪ ˈæksɪdənt; випадково
by all means; phr.; baɪ ɔːl miːnz; звичайно, безумовно
by hand; adv.; baɪ hænd; вручну
by mistake; adv.; baɪ mɪˈsteɪk; помилково
by name; adv.; baɪ neɪm; по імені
by; prep.; baɪ; біля, за допомогою
cab; n.; kæb; таксі
cabbage; n.; ˈkæbɪdʒ; капуста
cabin; n.; ˈkæbɪn; каюта, хатина
cable; n.; ˈkeɪbl; кабель
cafe; n.; kæˈfeɪ; кафе
cage; n.; keɪdʒ; клітка
cake; n.; keɪk; торт, тістечко
calculator; n.; ˈkælkjuleɪtər; калькулятор
calendar; n.; ˈkæləndər; календар
call for; v.; kɔːl fɔːr; вимагати
call; n., v.; kɔːl; дзвінок; дзвонити
calm; adj., n., v.; kɑːm; спокійний; спокій; заспокоювати
camel; n.; ˈkæml; верблюд
camera; n.; ˈkæmərə; камера, фотоапарат
camp; n., v.; kæmp; табір; стояти табором
campsite; n.; ˈkæmpsaɪt; місце для табору
can; modal v., n.; kæn; могти; банка
canal; n.; kəˈnæl; канал
cancel; v.; ˈkænsəl; скасовувати
candidate; n.; ˈkændɪdət; кандидат
candle; n.; ˈkændl; свічка
canteen; n.; kænˈtiːn; їдальня
cap; n.; kæp; кепка
capital; n.; ˈkæpɪtl; столиця
car park; n.; kɑːr pɑːrk; автостоянка
car; n.; kɑːr; автомобіль
card; n.; kɑːrd; картка
care; n., v.; keər; турбота; піклуватися
career; n.; kəˈrɪər; кар'єра
carpet; n.; ˈkɑːrpɪt; килим
carrot; n.; ˈkærət; морква
carry on; v.; ˈkæri ɒn; продовжувати
carry out; v.; ˈkæri aʊt; виконувати
carry; v.; ˈkæri; нести
cartoon; n.; kɑːrˈtuːn; мультфільм
case; n.; keɪs; випадок, справа
cassette player; n.; kəˈset ˈpleɪər; касетний програвач
cassette; n.; kəˈset; касета
castle; n.; ˈkɑːsl; замок
cat; n.; kæt; кішка
catch; v.; kætʃ; ловити
cathedral; n.; kəˈθiːdrəl; собор
cauliflower; n.; ˈkɒliflaʊər; цвітна капуста
cause; n., v.; kɔːz; причина; спричиняти
cave; n.; keɪv; печера
CD-Rom; n.; siː-diː rɒm; компакт-диск
CD; n.; siː-diː; компакт-диск
ceiling; n.; ˈsiːlɪŋ; стеля
celebrate; v.; ˈselɪbreɪt; святкувати
celebration; n.; ˌselɪˈbreɪʃn; святкування
celery; n.; ˈseləri; селера
cellar; n.; ˈselər; льох
cent; n.; sent; цент
centimetre; n.; ˈsentɪmiːtər; сантиметр
central heating; n.; ˌsentrəl ˈhiːtɪŋ; центральне опалення
central; adj.; ˈsentrəl; центральний
centre; n.; ˈsentər; центр
century; n.; ˈsentʃəri; століття
cereal; n.; ˈsɪəriəl; крупи, зернові
certain; adj.; ˈsɜːrtn; певний
certificate; n.; səˈtɪfɪkət; сертифікат
chain; n.; tʃeɪn; ланцюг
chair; n.; tʃeər; стілець
chalk; n.; tʃɔːk; крейда
challenge; n., v.; ˈtʃælɪndʒ; виклик; кидати виклик
champion; n.; ˈtʃæmpiən; чемпіон
chance; n.; tʃæns; шанс
change; n., v.; tʃeɪndʒ; зміна; змінювати
changing room; n.; ˈtʃeɪndʒɪŋ ruːm; роздягальня
channel; n.; ˈtʃænl; канал
chapter; n.; ˈtʃæptər; розділ
character; n.; ˈkærəktər; характер, персонаж
charge; n., v.; tʃɑːrdʒ; плата; заряджати
chat; n., v.; tʃæt; розмова; спілкуватися
cheap; adj.; tʃiːp; дешевий
cheat; v.; tʃiːt; обманювати
check in; v.; tʃek ɪn; реєструватися (в готелі тощо)
check out; v.; tʃek aʊt; виїжджати (з готелю тощо)
check; v., n.; tʃek; перевіряти; перевірка
cheerful; adj.; ˈtʃɪərfəl; життєрадісний
cheers; int., n.; tʃɪərz; вітання; тост
cheese; n.; tʃiːz; сир
chef; n.; ʃef; шеф-кухар
chemist; n.; ˈkemɪst; хімік, аптекар
chemistry; n.; ˈkemɪstri; хімія
cheque; n.; tʃek; чек
chess; n.; tʃes; шахи
chest; n.; tʃest; груди, скриня
chicken; n.; ˈtʃɪkɪn; курка, курятина
chief; adj., n.; tʃiːf; головний; керівник
child; n.; tʃaɪld; дитина
childhood; n.; ˈtʃaɪldhʊd; дитинство
chimney; n.; ˈtʃɪmni; димар
chin; n.; tʃɪn; підборіддя
chips; n.; tʃɪps; картопля фрі
chocolate; n.; ˈtʃɒklət; шоколад
choice; n.; tʃɔɪs; вибір
choose; v.; tʃuːz; вибирати
church; n.; tʃɜːrtʃ; церква
cinema; n.; ˈsɪnəmə; кінотеатр
circle; n.; ˈsɜːrkl; коло
circus; n.; ˈsɜːrkəs; цирк
city; n.; ˈsɪti; місто
clap; v., n.; klæp; плескати; оплески
class; n.; klæs; клас, урок
clean; adj., v.; kliːn; чистий; чистити
clear; adj., v.; klɪər; ясний; очищати
clever; adj.; ˈklevər; розумний
click; v., n.; klɪk; клацати; клацання
cliff; n.; klɪf; скеля
climate; n.; ˈklaɪmət; клімат
climb; v., n.; klaɪm; підніматися; сходження
clinic; n.; ˈklɪnɪk; клініка
cloakroom; n.; ˈkləʊkruːm; гардероб
clock; n.; klɒk; годинник
close; v., adj.; kləʊz; закривати; близький
cloth; n.; klɒθ; тканина
clothes; n.; kləʊz; одяг
cloud; n.; klaʊd; хмара
club; n.; klʌb; клуб
coal; n.; kəʊl; вугілля
coast; n.; kəʊst; узбережжя
coat; n.; kəʊt; пальто
cocoa; n.; ˈkəʊkəʊ; какао
coconut; n.; ˈkəʊkənʌt; кокос
coffee; n.; ˈkɒfi; кава
coin; n.; kɔɪn; монета
cola; n.; ˈkəʊlə; кола
cold; adj., n.; kəʊld; холодний; холод
collar; n.; ˈkɒlər; комір
colleague; n.; ˈkɒliːɡ; колега
collect; v.; kəˈlekt; збирати
collection; n.; kəˈlekʃn; колекція
college; n.; ˈkɒlɪdʒ; коледж
colour; n.; ˈkʌlər; колір
comb; n., v.; kəʊm; гребінь; розчісувати
come down; v.; kʌm daʊn; спускатися
come on; v.; kʌm ɒn; давай!, нумо!
come; v.; kʌm; приходити
comedian; n.; kəˈmiːdiən; комік
comedy; n.; ˈkɒmədi; комедія
comer; n.; ˈkʌmər; той, хто приходить
comfort; n.; ˈkʌmfət; комфорт
comfortable; adj.; ˈkʌmfətəbl; комфортний
comic; adj., n.; ˈkɒmɪk; комічний; комікс
command; n., v.; kəˈmɑːnd; команда; командувати
commercial; adj.; kəˈmɜːrʃl; комерційний
committee; n.; kəˈmɪti; комітет
common; adj.; ˈkɒmən; звичайний
communication; n.; kəˌmjuːnɪˈkeɪʃn; спілкування
compact; adj.; kəmˈpækt; компактний
company; n.; ˈkʌmpəni; компанія
compare; v.; kəmˈpeər; порівнювати
comparison; n.; kəmˈpærɪsn; порівняння
compete; v.; kəmˈpiːt; змагатися
competition; n.; ˌkɒmpəˈtɪʃn; змагання
complain; v.; kəmˈpleɪn; скаржитися
complaint; n.; kəmˈpleɪnt; скарга
complete; adj., v.; kəmˈpliːt; повний; завершувати
complicated; adj.; ˈkɒmplɪkeɪtɪd; складний
composition; n.; ˌkɒmpəˈzɪʃn; композиція
computer; n.; kəmˈpjuːtər; комп'ютер
concentrate; v.; ˈkɒnsntreɪt; концентруватися
concert; n.; ˈkɒnsɜːrt; концерт
conclusion; n.; kənˈkluːʒn; висновок
condition; n.; kənˈdɪʃn; умова
confident; adj.; ˈkɒnfɪdənt; впевнений
confirm; v.; kənˈfɜːrm; підтверджувати
congratulations!; int.; kənˌɡrædʒəˈleɪʃnz; вітання
connect; v.; kəˈnekt; з'єднувати
connection; n.; kəˈnekʃn; з'єднання
consider; v.; kənˈsɪdər; розглядати
consist; v.; kənˈsɪst; складатися
consul; n.; ˈkɒnsəl; консул
consulate; n.; ˈkɒnsjʊlət; консульство
contact; n., v.; ˈkɒntækt; контакт; контактувати
contain; v.; kənˈteɪn; містити
contents; n.; ˈkɒntents; зміст
continent; n.; ˈkɒntɪnənt; континент
continue; v.; kənˈtɪnjuː; продовжувати
contract; n., v.; ˈkɒntrækt; контракт; укладати контракт
control; n., v.; kənˈtrəʊl; контроль; контролювати
convenient; adj.; kənˈviːniənt; зручний
conversation; n.; ˌkɒnvərˈseɪʃn; розмова
cook; v., n.; kʊk; готувати; кухар
cooker; n.; ˈkʊkər; плита
cookie; n.; ˈkʊki; печиво
cool; adj., v.; kuːl; прохолодний; охолоджувати
copy; n., v.; ˈkɒpi; копія; копіювати
corn; n.; kɔːrn; кукурудза
correct; adj., v.; kəˈrekt; правильний; виправляти
correction; n.; kəˈrekʃn; виправлення
corridor; n.; ˈkɒrɪdɔːr; коридор
cost; n., v.; kɔːst; вартість; коштувати
costume; n.; ˈkɒstjuːm; костюм
cottage; n.; ˈkɒtɪdʒ; котедж
cotton; n.; ˈkɒtn; бавовна
cough; n., v.; kɒf; кашель; кашляти
count; v., n.; kaʊnt; рахувати; рахунок
country; n.; ˈkʌntri; країна
countryside; n.; ˈkʌntrisaɪd; сільська місцевість
couple; n.; ˈkʌpl; пара
courage; n.; ˈkʌrɪdʒ; мужність
course; n.; kɔːrs; курс
court; n.; kɔːrt; суд, корт
cover; v., n.; ˈkʌvər; покривати; покриття
cow; n.; kaʊ; корова
crash; n., v.; kræʃ; аварія; зазнавати аварії
crazy; adj.; ˈkreɪzi; божевільний
cream; n.; kriːm; крем
create; v.; kriˈeɪt; створювати
creative; adj.; kriˈeɪtɪv; творчий
creature; n.; ˈkriːtʃər; істота
credit; n.; ˈkredɪt; кредит
crime; n.; kraɪm; злочин
criminal; n., adj.; ˈkrɪmɪnl; злочинець; злочинний
cross; n., v.; krɒs; хрест; перетинати
crossing; n.; ˈkrɒsɪŋ; перехрестя
crossroads; n.; ˈkrɒsroʊdz; перехрестя
crowd; n.; kraʊd; натовп
crowded; adj.; ˈkraʊdɪd; переповнений
crown; n.; kraʊn; корона
cruel; adj.; ˈkruːəl; жорстокий
cruise; n.; kruːz; круїз
cry; v., n.; kraɪ; плакати; крик
cucumber; n.; ˈkjuːkʌmbər; огірок
cultural; adj.; ˈkʌltʃərəl; культурний
culture; n.; ˈkʌltʃər; культура
cup; n.; kʌp; чашка
cupboard; n.; ˈkʌbərd; шафа
cure; n., v.; kjʊər; лікування; лікувати
curious; adj.; ˈkjʊəriəs; цікавий
curly; adj.; ˈkɜːrli; кучерявий
currency; n.; ˈkʌrənsi; валюта
current; adj., n.; ˈkʌrənt; поточний; потік
curriculum vitae; n.; kəˌrɪkjələm ˈviːtaɪ; резюме
curriculum; n.; kəˈrɪkjələm; навчальний план
curry; n.; ˈkʌri; каррі
curtain; n.; ˈkɜːrtn; штора
curve; n.; kɜːrv; крива
cushion; n.; ˈkʊʃn; подушка
custom; n.; ˈkʌstəm; звичай
customer; n.; ˈkʌstəmər; клієнт
customs officer; n.; ˈkʌstəmz ˈɒfɪsər; митник
customs; n.; ˈkʌstəmz; митниця
cut up; v.; kʌt ʌp; розрізати на шматки
cut; v., n.; kʌt; різати; розріз
CV; n.; siːˈviː; резюме
cycle; n., v.; ˈsaɪkl; велосипед; їздити на велосипеді
of his stay; phr.; ɒv hɪz steɪ; під час його перебування
checkout; n.; ˈtʃekaʊt; каса (в магазині), перевірка
recorder; n.; rɪˈkɔːrdər; реєстратор, диктофон
dad; n.; dæd; тато
daddy; n.; ˈdædi; татусь
daily; adj.; ˈdeɪli; щоденний
damage; n., v.; ˈdæmɪdʒ; пошкодження; пошкоджувати
damp; adj.; dæmp; вологий
dance; n., v.; dæns; танець; танцювати
danger; n.; ˈdeɪndʒər; небезпека
dangerous; adj.; ˈdeɪndʒərəs; небезпечний
dark; adj., n.; dɑːrk; темний; темрява
date; n., v.; deɪt; дата; зустрічатися
daughter; n.; ˈdɔːtər; дочка
day; n.; deɪ; день
dead; adj.; ded; мертвий
deaf; adj.; def; глухий
deal; n., v.; diːl; угода; мати справу
dear; adj.; dɪər; дорогий
death; n.; deθ; смерть
decide; v.; dɪˈsaɪd; вирішувати
decimal; adj., n.; ˈdesɪml; десятковий; десяткова дробина
decision; n.; dɪˈsɪʒn; рішення
deck; n.; dek; палуба
declare; v.; dɪˈkleər; оголошувати
deejay; n.; ˈdiːdʒeɪ; ді-джей
deep; adj.; diːp; глибокий
defeat; v., n.; dɪˈfiːt; завдавати поразки; поразка
defence; n.; dɪˈfens; захист
defend; v.; dɪˈfend; захищати
